feature,r,abs_r,p_value,n_valid,direction,rank
lag_price_1d,0.9492622275744013,0.9492622275744013,0.0,2516,positive,1
roll_price_mean_7d,0.9276926353354492,0.9276926353354492,0.0,2509,positive,2
ma_price_7d,0.9274082919982471,0.9274082919982471,0.0,2516,positive,3
roll_price_mean_14d,0.9115922159786852,0.9115922159786852,0.0,2502,positive,4
roll_price_mean_30d,0.8881044229291538,0.8881044229291538,0.0,2486,positive,5
ma_price_30d,0.8867475405692078,0.8867475405692078,0.0,2516,positive,6
lag_price_7d,0.8801293640959613,0.8801293640959613,0.0,2516,positive,7
implied_spot_M1,0.864774312273633,0.864774312273633,0.0,2516,positive,8
forward_M1,0.8317794686409179,0.8317794686409179,0.0,2516,positive,9
roll_price_mean_90d,0.8178455194795787,0.8178455194795787,0.0,2426,positive,10
ratio_gas_to_hydro,0.8050941470923236,0.8050941470923236,0.0,2516,positive,11
epad_M1,0.7724746896621858,0.7724746896621858,0.0,2516,positive,12
lag_price_30d,0.7667280981869147,0.7667280981869147,0.0,2516,positive,13
roll_gas_mean_30d,0.7582806903736682,0.7582806903736682,0.0,2486,positive,14
roll_gas_mean_7d,0.7488672132860783,0.7488672132860783,0.0,2509,positive,15
fuel_gas_eur_mwh,0.7415238027848184,0.7415238027848184,0.0,2516,positive,16
roll_price_std_90d,0.7130983664680162,0.7130983664680162,0.0,2426,positive,17
roll_price_std_30d,0.6900111602540795,0.6900111602540795,0.0,2486,positive,18
roll_price_std_14d,0.6883313394242994,0.6883313394242994,0.0,2502,positive,19
std_price_30d,0.6843612980730366,0.6843612980730366,0.0,2516,positive,20
implied_spot_Y1,0.6820715567062838,0.6820715567062838,0.0,2516,positive,21
derived_forward_slope,-0.6753861501365398,0.6753861501365398,0.0,2516,negative,22
roll_price_std_7d,0.6752045517678265,0.6752045517678265,0.0,2509,positive,23
std_price_7d,0.6743228832011697,0.6743228832011697,0.0,2516,positive,24
derived_gas_volatility_30d,0.6734014544148506,0.6734014544148506,0.0,2516,positive,25
gas_co2_ratio,0.6445517239129438,0.6445517239129438,1.9494789374526293e-295,2516,positive,26
epad_Y1,0.6353800674123852,0.6353800674123852,1.4142396279757926e-284,2516,positive,27
reservoir_deviation_gwh,-0.625912662060072,0.625912662060072,9.576385450263303e-274,2516,negative,28
forward_Y1,0.6252738064365244,0.6252738064365244,4.995676364145529e-273,2516,positive,29
fuel_brent_usd_bbl,0.5999092334869209,0.5999092334869209,7.663747251047891e-246,2516,positive,30
fuel_carbon_eur_t,0.5430694384536813,0.5430694384536813,4.996805460833253e-193,2516,positive,31
epad_slope,0.4338258587492364,0.4338258587492364,5.468027749021344e-116,2516,positive,32
hydro_reserve_gwh,-0.3575328098082262,0.3575328098082262,9.61718970433765e-77,2516,negative,33
spot_forward_basis,0.351259314483407,0.351259314483407,5.845644893841421e-74,2516,positive,34
inflow_hbv_gwh,-0.3387862089824255,0.3387862089824255,1.3069397811658067e-68,2516,negative,35
roll_hydro_mean_7d,-0.3341268564109109,0.3341268564109109,1.7095584931243866e-66,2509,negative,36
weather_temp_c,-0.27766775639632785,0.27766775639632785,9.034446706821115e-46,2516,negative,37
roll_hydro_mean_30d,-0.27060676345050644,0.27060676345050644,5.6251430479800954e-43,2486,negative,38
snow_fraction,0.2594097898486983,0.2594097898486983,5.686857535458931e-40,2516,positive,39
derived_inflow_z_score,-0.2593216059949804,0.2593216059949804,6.050499305927476e-40,2516,negative,40
price_momentum_30d,0.22461221369407952,0.22461221369407952,8.442028434301003e-30,2486,positive,41
load_mw,0.20607094217207825,0.20607094217207825,1.5673288057786055e-25,2516,positive,42
cal_day_of_year_cos,0.20486831939347772,0.20486831939347772,3.01535775638098e-25,2516,positive,43
macro_eur_nok,-0.19637773926367375,0.19637773926367375,2.724048005918168e-23,2516,negative,44
season_winter,0.18891572250523342,0.18891572250523342,1.2070825556904771e-21,2516,positive,45
cal_month_cos,0.1795816926845527,0.1795816926845527,1.1142176396434628e-19,2516,positive,46
interaction_hydro_gas,0.17645560651663122,0.17645560651663122,4.807292387949078e-19,2516,positive,47
lag_price_365d,0.17565379061719,0.17565379061719,6.9644233780420975e-19,2516,positive,48
season_summer,-0.15664234938831498,0.15664234938831498,2.743272863568146e-15,2516,negative,49
price_momentum_7d,0.15352064131989748,0.15352064131989748,1.0596932118592505e-14,2509,positive,50
inflow_snow_gwh,0.15273065567299648,0.15273065567299648,1.3358404494888586e-14,2516,positive,51
cal_month_sin,0.15110544322385397,0.15110544322385397,2.547942989625667e-14,2516,positive,52
weather_precip_mm,-0.13411704404531916,0.13411704404531916,1.4335890589591381e-11,2516,negative,53
cal_day_of_year_sin,0.12254324515346297,0.12254324515346297,6.962487635421489e-10,2516,positive,54
weather_wind_ms,-0.10525929938870837,0.10525929938870837,1.2107733897166302e-07,2516,negative,55
week_of_year,-0.10143917533550784,0.10143917533550784,3.418293402878471e-07,2516,negative,56
is_weekend,-0.09780273851404199,0.09780273851404199,8.873278858298178e-07,2516,negative,57
month_num,-0.09574110336107693,0.09574110336107693,1.5016369527177892e-06,2516,negative,58
hydro_fill_rate,-0.08130573470158044,0.08130573470158044,4.4611943129608526e-05,2515,negative,59
derived_hydro_change,-0.08126914040395339,0.08126914040395339,4.481041981063753e-05,2516,negative,60
season_autumn,-0.07013825633839944,0.07013825633839944,0.00043040106183652924,2516,negative,61
season_spring,0.03722948680065625,0.03722948680065625,0.06188192306760021,2516,positive,62
